product_id,sku,product_name,category,brand,unit_of_measure,unit_price_idr,fat_content_pct,protein_content_pct,shelf_life_days,storage_temp_c,country_of_origin,halal_certified,is_active,min_order_qty,weight_per_unit_g,barcode,supplier_code,launch_date,notes
58949633,SKU395939,AlpineGold Fresh Milk Regular,Fresh Milk,CreamTop,Liter,9300.0,28.7,14.9,21,6,Netherlands,Yes,Yes,24,200,9016148365431,SUP-153,2020-03-06,Best seller
28180484,SKU909110,PureMilk UHT Milk Fortified,UHT Milk,LactoFresh,Liter,13600.0,9.6,13.3,14,2,Indonesia,Yes,Yes,12,1000,4534184614192,SUP-164,2021-07-25,Low margin
66355217,SKU751891,DairyStar Cream Organic,Cream,CheeseCraft,25kg bag,28200.0,30.7,1.6,5,20,Germany,Yes,No,10,25000,9037507753024,SUP-137,2019-12-31,Domestic
81887256,SKU750333,InfantPure Ice Cream Mix Regular,Ice Cream Mix,WheyPro,370g can,42300.0,15.6,1.7,21,20,Indonesia,Yes,Yes,10,2000,2303508336610,SUP-171,2015-12-18,Low margin
75989017,SKU482972,PureMilk Fresh Milk Full-cream,Fresh Milk,CreamTop,250g pack,12600.0,30.1,9.9,90,20,New Zealand,Yes,No,5,370,2984169889102,SUP-115,2015-04-15,Discontinued soon
94732324,SKU190675,WheyPro Yogurt Classic,Yogurt,GreenPasture,25kg bag,26200.0,33.7,5.1,7,8,USA,No,Yes,100,25000,8078068307248,SUP-120,2022-11-26,Award winner
52756530,SKU630754,WheyPro Yogurt Premium,Yogurt,WheyPro,1kg block,18900.0,17.8,6.2,14,15,Indonesia,Yes,Yes,12,200,1272046993770,SUP-146,2017-11-12,Seasonal
84574259,SKU641311,LactoFresh Fresh Milk Premium,Fresh Milk,DairyStar,Liter,13400.0,26.4,18.5,90,20,Malaysia,Yes,Yes,1,200,7559043979822,SUP-165,2019-01-12,Seasonal
51478584,SKU816290,LactoFresh Cheese Organic,Cheese,PureMilk,25kg bag,44700.0,30.8,24.7,30,20,Australia,Pending,Yes,12,250,2179554893883,SUP-139,2017-04-13,Export only
46858299,SKU246122,DairyStar Whey Powder Full-cream,Whey Powder,AlpineGold,1kg block,46300.0,37.9,28.8,90,-18,Netherlands,No,Yes,48,250,4136708131795,SUP-170,2022-02-06,Domestic
42893378,SKU392728,DairyStar Fresh Milk Full-cream,Fresh Milk,PureMilk,2L carton,13700.0,39.2,3.3,21,4,Australia,Yes,Yes,5,25000,3199497404408,SUP-148,2022-04-06,Low margin
22839366,SKU639989,PureMilk Yogurt Classic,Yogurt,AlpineGold,370g can,20300.0,5.3,23.9,7,20,Indonesia,Yes,Yes,12,25000,5277013347302,SUP-157,2015-08-30,Low margin
20774985,SKU675011,NaturaLac UHT Milk Premium,UHT Milk,InfantPure,kg,15500.0,36.6,25.3,180,8,Germany,Yes,Yes,48,370,6374916931627,SUP-152,2023-01-29,Low margin
39059532,SKU329330,AlpineGold Butter Low-fat,Butter,PureMilk,Liter,36000.0,12.4,19.7,365,-18,Indonesia,Yes,Yes,48,370,2765099752422,SUP-179,2017-02-01,Seasonal
16056397,SKU802416,CheeseCraft Yogurt Fortified,Yogurt,InfantPure,500ml bottle,26000.0,24.3,13.2,14,-20,Malaysia,Pending,No,24,400,4851613669310,SUP-161,2021-11-04,Low margin
40337489,SKU548366,AlpineGold Condensed Milk Full-cream,Condensed Milk,LactoFresh,500ml bottle,14600.0,15.9,2.6,730,2,Netherlands,Yes,Yes,12,1000,5005417624650,SUP-116,2020-12-09,Best seller
66650195,SKU545246,AlpineGold Baby Formula Fortified,Baby Formula,CreamTop,Liter,186300.0,18.1,13.9,21,15,Germany,No,Yes,48,2000,8301297508289,SUP-165,2018-05-02,Award winner
40009816,SKU617974,PureMilk Butter Fortified,Butter,PureMilk,Liter,43200.0,10.4,22.1,365,20,Indonesia,No,No,12,200,2096283535582,SUP-174,2020-05-19,New launch
98762844,SKU932362,AlpineGold Cheese Low-fat,Cheese,GreenPasture,250g pack,78400.0,9.7,25.4,90,-18,Indonesia,Yes,Yes,5,370,9330264257982,SUP-176,2019-04-18,Low margin
72056924,SKU772918,WheyPro Cheese Low-fat,Cheese,NaturaLac,500ml bottle,60300.0,34.1,27.9,90,-20,Australia,No,Yes,12,400,8828471943259,SUP-173,2020-01-19,Low margin
76808287,SKU496002,CreamTop Butter Classic,Butter,WheyPro,25kg bag,44000.0,16.8,19.9,7,-20,Malaysia,Yes,Yes,10,500,6425399827460,SUP-165,2015-02-22,Low margin
83558505,SKU898372,CheeseCraft Cheese Classic,Cheese,InfantPure,Liter,71500.0,6.5,8.5,365,6,Indonesia,Yes,Yes,10,200,4839557563981,SUP-107,2023-10-09,New launch
10977391,SKU114162,CheeseCraft Cheese Fortified,Cheese,InfantPure,1kg block,38100.0,24.1,23.8,14,15,Malaysia,Yes,Yes,48,400,3217346995369,SUP-121,2017-11-28,New launch
38830191,SKU979173,AlpineGold Baby Formula Regular,Baby Formula,LactoFresh,250g pack,95400.0,0.6,17.5,730,25,Germany,Yes,Yes,10,25000,7734343033427,SUP-168,2020-06-16,Seasonal
68419698,SKU719859,AlpineGold Baby Formula Organic,Baby Formula,WheyPro,25kg bag,142500.0,20.3,22.0,730,2,Australia,Yes,No,5,400,3800316153256,SUP-129,2023-07-10,Seasonal
64225395,SKU544514,CheeseCraft UHT Milk Premium,UHT Milk,GreenPasture,1kg block,14300.0,15.9,23.0,7,8,Malaysia,Yes,No,10,2000,7410753081323,SUP-161,2016-09-10,Award winner
80576626,SKU457246,InfantPure Cream Full-cream,Cream,LactoFresh,kg,36900.0,39.9,4.5,180,15,Indonesia,Pending,No,1,1000,8620856968038,SUP-115,2018-06-27,Discontinued soon
19202162,SKU436724,NaturaLac Ice Cream Mix Low-fat,Ice Cream Mix,CheeseCraft,250g pack,55100.0,19.2,14.2,90,25,Indonesia,Yes,Yes,100,400,4054213573395,SUP-105,2015-09-09,New launch
58196084,SKU431862,DairyStar Cheese Low-fat,Cheese,WheyPro,Liter,47600.0,12.3,21.4,30,25,France,Yes,No,10,370,1609188272906,SUP-150,2022-04-18,Low margin
98402425,SKU734175,CheeseCraft Cheese Organic,Cheese,DairyStar,25kg bag,79600.0,33.4,26.6,7,15,Malaysia,Yes,Yes,5,370,1348178325426,SUP-177,2022-08-26,Low margin
82018430,SKU959280,NaturaLac Butter Low-fat,Butter,CreamTop,500ml bottle,21500.0,25.6,20.7,365,8,Indonesia,No,Yes,100,500,5888493869828,SUP-109,2018-02-01,Best seller
44597378,SKU527629,NaturaLac Whey Powder Full-cream,Whey Powder,LactoFresh,370g can,35800.0,0.3,16.9,730,2,Germany,Yes,Yes,12,2000,9726497912325,SUP-115,2017-02-16,Best seller
32080003,SKU893373,InfantPure Yogurt Low-fat,Yogurt,CheeseCraft,1kg block,24100.0,4.5,25.7,30,15,France,Yes,Yes,5,200,5989289536002,SUP-123,2015-06-08,Best seller
42401924,SKU684424,LactoFresh Cream Full-cream,Cream,AlpineGold,250g pack,26000.0,38.4,13.6,7,-20,Netherlands,No,Yes,100,2000,6621416336039,SUP-103,2019-12-23,Discontinued soon
14385287,SKU872177,GreenPasture Yogurt Organic,Yogurt,PureMilk,500ml bottle,21600.0,32.4,12.8,5,15,Germany,No,Yes,100,250,3511440857994,SUP-137,2019-07-21,Best seller
32243854,SKU365421,PureMilk Yogurt Regular,Yogurt,CheeseCraft,25kg bag,16200.0,27.0,10.1,30,25,Indonesia,Yes,Yes,10,500,5699281104586,SUP-133,2016-03-09,Export only
84476046,SKU838199,DairyStar Yogurt Full-cream,Yogurt,NaturaLac,Liter,11100.0,17.9,13.8,180,6,Australia,Pending,No,48,400,3411857496183,SUP-171,2022-06-27,Low margin
56393870,SKU799776,LactoFresh Baby Formula Regular,Baby Formula,AlpineGold,1kg block,178200.0,7.4,10.2,5,2,USA,Yes,Yes,10,370,1296072143829,SUP-171,2018-11-23,Domestic
16482449,SKU441304,DairyStar Fresh Milk Premium,Fresh Milk,LactoFresh,500ml bottle,12900.0,3.6,4.8,730,2,Indonesia,Yes,Yes,5,1000,2447371223696,SUP-159,2015-01-28,Best seller
94699666,SKU922957,CheeseCraft Fresh Milk Low-fat,Fresh Milk,DairyStar,250g pack,13500.0,37.2,10.7,30,20,Australia,Yes,No,100,1000,6800167711531,SUP-119,2018-04-29,New launch
84541591,SKU647519,LactoFresh Cheese Full-cream,Cheese,DairyStar,500ml bottle,42200.0,39.1,8.0,30,15,USA,Yes,Yes,12,500,4490412540685,SUP-156,2016-07-27,Export only
96436376,SKU311520,WheyPro Fresh Milk Low-fat,Fresh Milk,NaturaLac,500ml bottle,8300.0,21.7,24.0,5,6,France,Yes,Yes,48,200,1007270712266,SUP-172,2019-07-26,Low margin
99909788,SKU311004,LactoFresh Yogurt Classic,Yogurt,InfantPure,500ml bottle,23500.0,31.8,10.9,5,-18,Indonesia,Yes,Yes,12,2000,9199793892531,SUP-148,2017-08-14,Export only
70025373,SKU487822,PureMilk Fresh Milk Premium,Fresh Milk,InfantPure,2L carton,13000.0,30.4,20.6,14,4,Indonesia,Yes,Yes,48,370,4867395172293,SUP-117,2023-05-01,Best seller
48136350,SKU707375,GreenPasture Butter Regular,Butter,AlpineGold,370g can,41300.0,35.7,28.3,21,20,France,No,Yes,5,1000,3090218571643,SUP-153,2016-04-03,Seasonal
57802915,SKU462363,WheyPro Yogurt Classic,Yogurt,DairyStar,kg,18100.0,22.3,12.9,21,6,Germany,No,Yes,24,200,3251057107799,SUP-115,2020-12-02,Domestic
68354218,SKU951890,GreenPasture Cream Regular,Cream,NaturaLac,500ml bottle,16900.0,20.9,23.3,7,20,Germany,No,No,24,200,8779993695889,SUP-166,2018-11-28,Best seller
86212780,SKU292102,CheeseCraft Cream Fortified,Cream,InfantPure,25kg bag,39200.0,20.2,11.5,730,15,New Zealand,Yes,Yes,24,1000,1807579038939,SUP-120,2017-04-02,Export only
40403119,SKU733575,WheyPro Yogurt Organic,Yogurt,NaturaLac,200ml sachet,13900.0,26.1,22.6,90,-20,Indonesia,No,Yes,24,370,2333291755059,SUP-127,2021-05-15,Best seller
79036592,SKU295074,DairyStar Cheese Low-fat,Cheese,AlpineGold,200ml sachet,51400.0,33.8,27.0,7,20,Indonesia,Yes,Yes,48,370,9549741347783,SUP-174,2018-12-25,Low margin
93782196,SKU511106,CheeseCraft Butter Classic,Butter,CreamTop,2L carton,34100.0,28.4,27.7,90,25,Netherlands,No,Yes,1,2000,1008096595880,SUP-129,2016-12-20,Discontinued soon
22413493,SKU998355,CreamTop UHT Milk Fortified,UHT Milk,DairyStar,250g pack,17600.0,2.4,29.6,14,20,Netherlands,Yes,Yes,12,1000,8103375731988,SUP-171,2022-02-13,Low margin
97648825,SKU617870,NaturaLac UHT Milk Regular,UHT Milk,NaturaLac,500ml bottle,17400.0,8.6,14.1,365,2,Indonesia,Yes,Yes,100,25000,8606054586202,SUP-153,2018-09-29,Best seller
75792572,SKU522801,InfantPure Fresh Milk Low-fat,Fresh Milk,CheeseCraft,1kg block,6300.0,32.5,11.0,7,-18,Indonesia,Yes,No,100,250,7676020593874,SUP-130,2020-03-03,Export only
39387325,SKU749309,GreenPasture Cream Premium,Cream,PureMilk,1kg block,27900.0,19.8,29.4,30,15,New Zealand,No,No,10,25000,7886512593622,SUP-124,2022-06-28,Discontinued soon
66257084,SKU742335,CreamTop Cheese Organic,Cheese,InfantPure,25kg bag,59200.0,25.0,8.4,14,20,New Zealand,Yes,Yes,48,500,1131257000228,SUP-124,2018-08-20,Low margin
58228927,SKU927371,InfantPure Cheese Classic,Cheese,InfantPure,200ml sachet,63800.0,6.6,22.3,90,15,Malaysia,Pending,Yes,100,400,9296013561709,SUP-131,2020-02-24,Best seller
33128640,SKU955312,CreamTop Ice Cream Mix Regular,Ice Cream Mix,WheyPro,400g tin,26900.0,18.8,8.7,180,2,Germany,Yes,Yes,48,400,6062550124831,SUP-131,2015-07-18,Export only
94830788,SKU117125,GreenPasture Condensed Milk Organic,Condensed Milk,PureMilk,1kg block,20200.0,35.1,13.4,90,25,Netherlands,Pending,Yes,1,25000,9709383313546,SUP-171,2021-01-17,Best seller
64258249,SKU669288,LactoFresh Cheese Classic,Cheese,WheyPro,kg,68700.0,13.6,9.3,7,2,USA,Yes,Yes,1,200,9367634560591,SUP-173,2019-05-01,Domestic
