recipe_id,recipe_code,cheese_type,variant_name,origin_style,aging_days,milk_type_required,fat_content_pct,moisture_pct,salt_pct,starter_culture,coagulation_method,yield_ratio_pct,shelf_life_days,certification,version,status,created_by,last_updated,notes
393220,RCP14193,Ricotta,Ricotta Reserve,Indonesian Local,365,Cow,12.6,69.6,3.98,Washed Rind,Rennet,21.41,730,Organic,v3.1,In Review,CHEM-105,2022-11-21,Domestic market
327685,RCP64149,Gouda,Gouda Bold,Traditional Italian,0,Goat,42.1,39.8,1.09,Mesophilic,Rennet,12.8,14,Halal+Organic,v3.0,Active,CHEM-106,2020-02-26,Pilot batch
294917,RCP60137,Emmental,Emmental Extra Aged,Traditional Italian,180,Cow,24.5,30.2,3.67,Mold-Ripened,Heat-Acid,18.12,90,Organic,v1.0,Active,CHEM-109,2023-03-11,Standard production
589830,RCP97849,Colby,Colby Premium,Indonesian Local,365,Cow,13.0,60.0,1.78,Mesophilic,Rennet,17.58,180,Halal,v3.1,Active,CHEM-148,2023-01-24,Seasonal only
950281,RCP91133,Gouda,Gouda Reserve,Fusion Modern,730,Buffalo,21.6,58.1,3.6,Washed Rind,Rennet,20.0,30,Halal,v4.0,Active,CHEM-140,2022-06-28,Seasonal only
753677,RCP48037,Mozzarella,Mozzarella Extra Aged,Indonesian Local,365,Goat,14.9,57.6,1.16,Mold-Ripened,Heat-Acid,18.3,14,None,v2.1,Discontinued,CHEM-135,2021-05-05,Standard production
753683,RCP32411,Mozzarella,Mozzarella Light,English Classic,30,Cow,36.8,46.4,2.41,Thermophilic,Acid,13.43,21,Halal,v1.1,In Review,CHEM-111,2020-11-23,Standard production
655381,RCP30097,Gouda,Gouda Young,Dutch Heritage,60,Mixed,36.2,71.5,1.29,Washed Rind,Rennet,15.14,90,Organic,v2.0,In Review,CHEM-122,2021-07-16,Review pending
557080,RCP34030,Gouda,Gouda Young,Traditional Italian,90,Cow,27.8,28.3,3.66,Thermophilic,Acid,12.14,14,Halal,v2.0,Discontinued,CHEM-108,2023-03-14,Standard production
622616,RCP86966,Camembert,Camembert Classic,Traditional Italian,0,Cow,34.1,42.8,1.44,Washed Rind,Rennet,18.21,365,Halal,v4.0,Archived,CHEM-136,2021-11-08,Pilot batch
688156,RCP18096,Mozzarella,Mozzarella Reserve,American Style,0,Sheep,24.8,68.3,2.82,Mesophilic,Rennet,16.33,60,Kosher,v1.1,Discontinued,CHEM-134,2020-04-18,Domestic market
294942,RCP94046,Emmental,Emmental Classic,English Classic,365,Mixed,18.3,47.2,0.93,Mixed Culture,Rennet,19.49,60,Halal,v2.1,Discontinued,CHEM-107,2024-08-25,Review pending
163871,RCP73910,Mozzarella,Mozzarella Young,American Style,0,Cow,18.6,56.5,2.58,Mold-Ripened,Rennet,14.79,30,Halal,v3.1,In Review,CHEM-112,2023-03-16,Seasonal only
720936,RCP87742,Gouda,Gouda Premium,Indonesian Local,0,Cow,25.9,22.1,1.28,Mold-Ripened,Rennet,21.57,90,Halal,v2.0,Archived,CHEM-123,2020-05-03,Pilot batch
819242,RCP99709,Cheddar,Cheddar Bold,Traditional Italian,730,Cow,18.0,46.9,1.16,Washed Rind,Acid,8.17,21,Kosher,v2.0,Active,CHEM-120,2020-07-01,Standard production
196652,RCP22432,Cheddar,Cheddar Classic,American Style,30,Sheep,34.0,62.8,2.79,Washed Rind,Acid,10.31,30,None,v1.1,Active,CHEM-145,2019-10-30,Export grade
393261,RCP52439,Gouda,Gouda Classic,Dutch Heritage,60,Mixed,22.9,22.4,2.36,Washed Rind,Acid,9.74,730,Halal,v2.1,Active,CHEM-127,2023-03-24,Award-winning formula
917549,RCP98294,Brie,Brie Young,Swiss Alpine,0,Cow,13.6,40.9,0.94,Thermophilic,Heat-Acid,17.21,30,Kosher,v3.1,Archived,CHEM-149,2023-04-04,Standard production
655407,RCP27490,Parmesan,Parmesan Light,Traditional Italian,90,Cow,28.4,54.2,3.36,Thermophilic,Rennet,9.59,365,ISO22000,v2.0,Active,CHEM-142,2023-08-24,High demand
360510,RCP35069,Ricotta,Ricotta Young,Indonesian Local,730,Cow,30.2,64.6,3.83,Natural,Heat-Acid,16.68,30,Kosher,v3.0,Active,CHEM-125,2020-11-16,Review pending
884801,RCP44489,Parmesan,Parmesan Young,Fusion Modern,90,Cow,21.2,63.6,4.0,Thermophilic,Heat-Acid,12.06,365,None,v2.1,Active,CHEM-105,2024-03-07,Seasonal only
622664,RCP97026,Cheddar,Cheddar Artisan,Traditional Italian,180,Buffalo,12.8,34.0,2.45,Washed Rind,Acid,20.85,365,None,v3.1,Discontinued,CHEM-132,2020-05-26,Seasonal only
884808,RCP77739,Ricotta,Ricotta Young,American Style,365,Mixed,12.3,48.7,2.62,Washed Rind,Acid,14.59,365,Organic,v4.0,Archived,CHEM-149,2021-01-24,Standard production
950347,RCP47663,Mozzarella,Mozzarella Young,Indonesian Local,90,Cow,21.7,50.1,2.61,Mold-Ripened,Rennet,17.5,180,None,v1.1,Active,CHEM-147,2024-05-16,Domestic market
622672,RCP63605,Cheddar,Cheddar Light,French Artisan,90,Cow,30.7,33.9,1.3,Washed Rind,Enzymatic,16.85,180,Halal,v1.0,Archived,CHEM-148,2022-04-15,Review pending
753745,RCP51552,Ricotta,Ricotta Premium,American Style,0,Cow,39.8,43.7,2.08,Mesophilic,Rennet,20.74,21,ISO22000,v2.0,Active,CHEM-110,2020-09-06,Export grade
229464,RCP45259,Brie,Brie Reserve,Fusion Modern,90,Mixed,37.5,31.6,2.33,Washed Rind,Rennet,9.23,730,None,v3.0,In Review,CHEM-149,2019-11-12,Review pending
196703,RCP74926,Parmesan,Parmesan Premium,Traditional Italian,0,Cow,15.8,44.7,3.84,Thermophilic,Acid,11.6,60,Halal,v1.0,Archived,CHEM-133,2023-06-02,Award-winning formula
852064,RCP12427,Mozzarella,Mozzarella Reserve,Swiss Alpine,90,Cow,32.4,40.8,2.35,Thermophilic,Enzymatic,16.59,60,None,v1.1,Active,CHEM-133,2019-07-12,Domestic market
819304,RCP11908,Emmental,Emmental Light,American Style,0,Cow,17.6,55.5,0.73,Natural,Heat-Acid,15.5,365,Halal+Organic,v4.0,Active,CHEM-109,2019-05-27,Domestic market
