equipment_id,asset_tag,equipment_name,equipment_type,manufacturer,model_number,serial_number,installation_date,last_maintenance_date,next_maintenance_due,plant_area,capacity_liters_hr,power_consumption_kw,status,maintenance_contract,asset_value_idr,depreciation_years,responsible_team,iot_enabled,notes
9043968,AST625613,Pasilac Vat Cheese Maker Pro,Vat Cheese Maker,GEA Group,MDL-4050-A,SN27294090,2005-04-09,2019-11-20,2025-07-17,Processing,224.0,89.9,Operational,Full Service,20335990000.0,7,External Contractor,Yes,Scheduled for replacement
9076740,AST425372,Paul Mueller Pasteurizer Elite,Pasteurizer,Paul Mueller,MDL-3199-E,SN60321471,2007-04-03,2009-05-06,2026-09-18,Processing,288.0,93.0,Operational,Parts Only,45242490000.0,15,External Contractor,Yes,Critical line
1474566,AST790147,Pasilac Butter Churn Mini,Butter Churn,Tetra Pak,MDL-1295-D,SN18209293,2015-04-30,2024-10-09,2025-06-01,Loading Dock,1198.0,443.9,Operational,Parts Only,178530000.0,10,Engineering A,No,Scheduled for replacement
5799945,AST927923,SPX Flow Homogenizer Pro,Homogenizer,GEA Group,MDL-4144-D,SN51569902,2009-10-21,2017-11-03,2026-05-20,Cold Storage,310.0,280.4,Operational,Full Service,2950440000.0,5,Utilities,No,Vibration issue
3637259,AST476187,Paul Mueller Cooling Tank Pro,Cooling Tank,Scherjon,MDL-1548-C,SN74813851,2014-02-12,2022-03-06,2025-01-30,Loading Dock,119.0,424.4,Operational,None,413110000.0,10,External Contractor,No,High performer
5144590,AST783462,Alfa Laval Centrifuge Mini,Centrifuge,Scherjon,MDL-2496-B,SN70313348,2018-01-10,2019-06-08,2025-01-13,Cold Storage,441.0,390.9,Operational,None,86394600000.0,15,Engineering B,Yes,Critical line
6291472,AST102052,Tetra Pak Homogenizer Mini,Homogenizer,Tetra Pak,MDL-9753-A,SN53550939,2013-07-09,2016-07-02,2024-06-08,Laboratory,67.0,441.7,Operational,Full Service,7958630000.0,20,Engineering A,Yes,Backup unit
5046291,AST624251,OMVE Centrifuge Standard,Centrifuge,Scherjon,MDL-1293-B,SN64759437,2013-07-25,2014-04-28,2024-07-19,Receiving,2710.0,479.0,Operational,Parts Only,2743200000.0,10,External Contractor,Yes,Scheduled for replacement
7471124,AST965265,Krones Butter Churn Max,Butter Churn,Feldmeier,MDL-8163-A,SN34716943,2018-06-25,2023-03-03,2024-02-21,Aging Room,559.0,4.3,Operational,Full Service,2424460000.0,15,Operations,No,High performer
2850848,AST468062,Scherjon Vat Cheese Maker Compact,Vat Cheese Maker,Scherjon,MDL-8480-C,SN74666051,2013-08-08,2023-11-23,2025-03-26,Cold Storage,4448.0,130.9,Operational,Full Service,9648550000.0,15,Engineering B,No,Aging unit
9273377,AST702601,Alfa Laval Centrifuge Standard,Centrifuge,Feldmeier,MDL-6752-E,SN91559890,2010-09-12,2019-01-05,2026-03-04,Aging Room,3550.0,329.7,Operational,Full Service,529620000.0,7,Utilities,No,Good condition
2621474,AST481724,GEA Group Centrifuge Mini,Centrifuge,Alfa Laval,MDL-7968-B,SN97647892,2009-04-23,2019-09-10,2026-07-29,Receiving,1502.0,477.9,Operational,Labour Only,10470160000.0,7,Operations,No,Vibration issue
6029347,AST731277,Feldmeier Vat Cheese Maker Plus,Vat Cheese Maker,Scherjon,MDL-1327-E,SN69409391,2015-01-23,2024-01-30,2026-10-13,Aging Room,1301.0,48.1,Operational,None,36698290000.0,15,External Contractor,Yes,Vibration issue
8814624,AST523731,Feldmeier Pasteurizer Compact,Pasteurizer,Krones,MDL-8631-D,SN25532608,2016-04-22,2022-12-24,2025-05-18,Loading Dock,1013.0,376.9,Standby,None,37524960000.0,20,Operations,Yes,Aging unit
6324262,AST485381,OMVE Vat Cheese Maker Plus,Vat Cheese Maker,GEA Group,MDL-7702-A,SN58075264,2021-08-11,2024-05-08,2025-08-18,CIP Room,1015.0,247.4,Operational,Labour Only,41055710000.0,20,Engineering A,No,Scheduled for replacement
3375143,AST698017,Tetra Pak Centrifuge Industrial,Centrifuge,SPX Flow,MDL-6603-E,SN82724400,2021-10-26,2023-06-21,2026-11-10,Aging Room,4149.0,102.4,Decommissioned,None,31699360000.0,15,Utilities,No,High performer
9437223,AST535802,Tetra Pak Pasteurizer Pro,Pasteurizer,OMVE,MDL-1955-C,SN48293278,2016-08-03,2022-12-29,2026-04-10,Aging Room,4369.0,454.3,Operational,Full Service,2461540000.0,7,External Contractor,No,Backup unit
2752551,AST366452,Scherjon Butter Churn Elite,Butter Churn,Tetra Pak,MDL-5096-C,SN88647861,2009-11-28,2022-02-20,2026-09-05,Aging Room,1708.0,461.5,Operational,Labour Only,4660300000.0,10,Engineering B,No,Recently overhauled
6258731,AST921807,Feldmeier Filling Machine Elite,Filling Machine,Alfa Laval,MDL-9118-C,SN22830133,2014-04-25,2022-11-22,2026-08-02,Laboratory,4790.0,235.7,Operational,Labour Only,10829660000.0,7,Utilities,Yes,Recently overhauled
8421420,AST396391,Alfa Laval Filling Machine Mini,Filling Machine,Tetra Pak,MDL-8149-A,SN55605758,2015-04-09,2023-02-16,2026-12-03,Loading Dock,3155.0,409.2,Operational,Labour Only,5477810000.0,7,Operations,No,Backup unit
9502767,AST446350,Alfa Laval CIP System Plus,CIP System,Feldmeier,MDL-3061-D,SN62976521,2010-09-05,2019-10-21,2026-05-07,Loading Dock,315.0,437.6,Operational,None,6152600000.0,15,External Contractor,No,Good condition
4948018,AST904788,Scherjon UHT Unit Industrial,UHT Unit,Alfa Laval,MDL-7924-B,SN22005767,2014-10-20,2018-08-08,2024-06-25,Loading Dock,1032.0,492.5,Operational,Parts Only,16409310000.0,5,Operations,No,Good condition
3702835,AST397445,Paul Mueller Homogenizer Elite,Homogenizer,Alfa Laval,MDL-9902-E,SN95577481,2017-04-20,2024-10-17,2024-02-24,Packaging,4247.0,153.2,Operational,Full Service,2559950000.0,5,Operations,Yes,Good condition
2588724,AST421294,Scherjon UHT Unit Elite,UHT Unit,Paul Mueller,MDL-2470-C,SN17844640,2019-07-26,2023-01-21,2024-04-08,CIP Room,639.0,118.0,Operational,Full Service,1642020000.0,5,Engineering B,No,Aging unit
2883634,AST552785,SPX Flow Vat Cheese Maker Compact,Vat Cheese Maker,GEA Group,MDL-2220-C,SN69498976,2009-04-08,2012-07-19,2026-09-01,Aging Room,415.0,356.3,Operational,Full Service,2623770000.0,5,External Contractor,Yes,High performer
2850871,AST754532,Paul Mueller Dryer Standard,Dryer,SPX Flow,MDL-1362-B,SN53997587,2012-12-01,2019-02-21,2025-11-17,Receiving,945.0,341.8,Operational,Labour Only,32090920000.0,7,External Contractor,No,Vibration issue
4948025,AST644616,Feldmeier Cooling Tank Plus,Cooling Tank,Feldmeier,MDL-9048-E,SN46906367,2005-06-03,2024-04-07,2026-10-19,Loading Dock,969.0,434.2,Under Maintenance,None,3764080000.0,15,Engineering A,Yes,High performer
6455356,AST794568,SPX Flow Homogenizer Elite,Homogenizer,Scherjon,MDL-8100-B,SN38992574,2021-08-01,2023-12-09,2025-05-21,Aging Room,1269.0,494.6,Operational,Labour Only,4680920000.0,20,Utilities,Yes,Vibration issue
4620348,AST615944,Pasilac Homogenizer Industrial,Homogenizer,Feldmeier,MDL-8742-B,SN10254410,2008-08-20,2017-06-06,2024-03-16,Laboratory,506.0,384.7,Operational,None,1790740000.0,7,Operations,No,Vibration issue
1376317,AST925762,Scherjon Cooling Tank Compact,Cooling Tank,Feldmeier,MDL-4232-E,SN60628799,2013-07-29,2020-12-31,2026-09-20,Loading Dock,1190.0,421.5,Under Maintenance,Parts Only,1278820000.0,15,Engineering A,Yes,Aging unit
8290378,AST348992,Pasilac Dryer Compact,Dryer,SPX Flow,MDL-4469-B,SN15735913,2018-08-23,2024-12-12,2024-03-15,Laboratory,1908.0,83.7,Operational,None,4928450000.0,7,Utilities,No,High performer
1278029,AST372021,SPX Flow CIP System Max,CIP System,Krones,MDL-2064-D,SN32177557,2020-05-22,2022-12-24,2024-03-24,Loading Dock,306.0,179.7,Operational,Parts Only,9834450000.0,7,Utilities,No,Backup unit
9961561,AST361773,Feldmeier Pasteurizer Pro,Pasteurizer,Paul Mueller,MDL-4734-D,SN12150949,2016-08-10,2019-07-11,2025-12-12,Processing,473.0,294.9,Under Maintenance,None,18362760000.0,15,External Contractor,Yes,Scheduled for replacement
1212512,AST195351,Pasilac Filling Machine Mini,Filling Machine,Pasilac,MDL-7334-E,SN42796380,2014-10-08,2019-01-18,2026-10-26,Laboratory,291.0,476.6,Decommissioned,None,513430000.0,10,External Contractor,No,Good condition
2457701,AST991508,Krones Centrifuge Standard,Centrifuge,Feldmeier,MDL-8680-E,SN44810884,2008-05-07,2021-06-25,2024-05-31,Loading Dock,488.0,160.8,Under Maintenance,Labour Only,43311860000.0,5,Engineering B,Yes,Vibration issue
4620390,AST526926,Paul Mueller CIP System Industrial,CIP System,GEA Group,MDL-3940-A,SN66977916,2009-06-21,2021-04-02,2024-11-23,Cold Storage,325.0,435.9,Operational,Parts Only,1215070000.0,10,Engineering A,No,Aging unit
